time,RIVER
0.000000000000,-25899.9199
30.44166666667,-28852.2326
60.88333333333,-30925.2638
91.32500000000,-29855.7519
121.7666666667,-30310.8410
152.2083333333,-32655.6990
182.6500000000,-30776.8272
213.0916666667,-27606.5766
243.5333333333,-25088.3344
273.9750000000,-23363.3230
304.4166666667,-22158.4136
334.8583333333,-21371.2253
365.3000000000,-21582.6759
395.7416666667,-25444.9328
426.1833333333,-28568.4594
456.6250000000,-33891.9979
487.0666666667,-35040.3773
517.5083333333,-33579.8627
547.9500000000,-31467.4575
578.3916666667,-29451.5378
608.8333333333,-27654.7490
639.2750000000,-26331.5812
669.7166666667,-28131.5408
700.1583333333,-31427.4357
730.6000000000,-40204.5981
761.0416666667,-49033.7537
791.4833333333,-47316.2957
821.9250000000,-45548.5976
852.3666666667,-44373.0637
882.8083333333,-40787.7591
913.2500000000,-36269.9994
943.6916666667,-32378.2948
974.1333333333,-29450.0279
1004.575000000,-27629.5070
1035.016666667,-27610.2022
1065.458333333,-28080.5248
1095.900000000,-31056.4492
1126.341666667,-34043.6008
1156.783333333,-34275.7754
1187.225000000,-35671.1212
1217.666666667,-36862.2553
1248.108333333,-36225.5877
1278.550000000,-32438.7990
1308.991666667,-29290.9935
1339.433333333,-26898.5145
1369.875000000,-25090.3186
1400.316666667,-24144.4901
1430.758333333,-24093.7008
1461.200000000,-26203.4134
1491.641666667,-26940.8388
1522.083333333,-26872.9430
1552.525000000,-28751.9976
1582.966666667,-29145.3123
1613.408333333,-28457.7171
1643.850000000,-26497.4459
1674.291666667,-24680.4382
1704.733333333,-23291.0411
1735.175000000,-22099.9790
1765.616666667,-21374.0713
1796.058333333,-21138.7332
1826.500000000,-20979.6495
1856.941666667,-20600.6809
1887.383333333,-20039.8935
1917.825000000,-19817.0048
1948.266666667,-19353.4795
1978.708333333,-18816.7428
2009.150000000,-18215.2061
2039.591666667,-17737.9063
2070.033333333,-17349.2344
2100.475000000,-16975.8567
2130.916666667,-16983.0252
2161.358333333,-17463.6230
2191.800000000,-18839.5586
2222.241666667,-20193.3769
2252.683333333,-23257.7088
2283.125000000,-25701.8492
2313.566666667,-26273.4595
2344.008333333,-26226.0076
2374.450000000,-24944.1213
2404.891666667,-23659.7900
2435.333333333,-22432.8378
2465.775000000,-21356.8255
2496.216666667,-20701.3615
2526.658333333,-24753.9368
2557.100000000,-32126.7044
2587.541666667,-32296.9962
2617.983333333,-31474.0455
2648.425000000,-30651.8424
2678.866666667,-29069.7610
2709.308333333,-27210.7047
2739.750000000,-25463.9505
2770.191666667,-23924.9656
2800.633333333,-22736.3661
2831.075000000,-22449.0296
2861.516666667,-22435.9595
2891.958333333,-22031.2309
2922.400000000,-22706.6542
2952.841666667,-25818.6100
2983.283333333,-26522.8449
3013.725000000,-27777.7837
3044.166666667,-29635.9042
3074.608333333,-30789.3180
3105.050000000,-29741.4317
3135.491666667,-27116.3161
3165.933333333,-24771.2888
3196.375000000,-23032.6200
3226.816666667,-22745.9328
3257.258333333,-22164.9855
3287.700000000,-21921.5842
3318.141666667,-22043.4715
3348.583333333,-23324.9522
3379.025000000,-22854.2129
3409.466666667,-22424.3303
3439.908333333,-21104.2425
3470.350000000,-20118.5101
3500.791666667,-19042.9265
3531.233333333,-18042.7183
3561.675000000,-17825.7201
3592.116666667,-17598.3486
3622.558333333,-17433.0927
3653.000000000,-17691.1336
