time,GHB-1,GHB-3
0.000000000000,1230.20190,2151.45813
30.44166666667,1615.01007,2426.07868
60.88333333333,1342.12979,2301.38228
91.32500000000,1300.93680,2272.92627
121.7666666667,1235.61303,2225.64175
152.2083333333,1090.65251,2113.35921
182.6500000000,1128.04490,2105.38127
213.0916666667,1243.14021,2187.89410
243.5333333333,25.1777855,1335.60941
273.9750000000,-898.325580,448.428869
304.4166666667,-31.7608958,732.321124
334.8583333333,1489.01363,1733.20385
365.3000000000,2645.69909,2763.31565
395.7416666667,1952.93628,2610.43022
426.1833333333,1588.32073,2463.84904
456.6250000000,1224.32278,2228.10657
487.0666666667,1085.17041,2087.51463
517.5083333333,1096.43634,2050.70744
547.9500000000,1151.35676,2066.17167
578.3916666667,1215.72295,2106.64397
608.8333333333,1281.60753,2160.46415
639.2750000000,1337.58918,2215.54067
669.7166666667,1257.84173,2180.18103
700.1583333333,1096.63627,2065.05540
730.6000000000,666.238305,1732.85926
761.0416666667,193.652265,1308.11333
791.4833333333,202.345777,1166.27806
821.9250000000,240.553702,1099.79521
852.3666666667,256.142629,1049.99081
882.8083333333,382.378992,1090.88606
913.2500000000,559.825010,1201.78704
943.6916666667,-71.1967456,780.214687
974.1333333333,-1599.58623,-433.385790
1004.575000000,-79.2354265,272.894166
1035.016666667,2119.68953,1838.54868
1065.458333333,1534.15237,1800.82666
1095.900000000,1186.28094,1707.21607
1126.341666667,947.648425,1583.20846
1156.783333333,877.880770,1527.48785
1187.225000000,775.721908,1446.33752
1217.666666667,685.964064,1361.68995
1248.108333333,679.410984,1327.95712
1278.550000000,813.951090,1407.66436
1308.991666667,133.530879,947.911878
1339.433333333,-1466.01522,-318.512559
1369.875000000,-2230.80769,-1257.58228
1400.316666667,641.820958,364.802584
1430.758333333,2904.67193,2193.87192
1461.200000000,1980.12461,2074.17484
1491.641666667,1618.80105,2023.10635
1522.083333333,1476.44566,2008.56200
1552.525000000,1312.71691,1939.58323
1582.966666667,1242.05650,1900.98552
1613.408333333,1236.93772,1901.10332
1643.850000000,1282.57435,1943.76573
1674.291666667,1304.94578,1991.22339
1704.733333333,563.727330,1480.33055
1735.175000000,-747.048287,423.862596
1765.616666667,641.406593,1085.38404
1796.058333333,2541.24680,2459.85520
1826.500000000,2037.28255,2448.74759
1856.941666667,1856.06575,2471.15039
1887.383333333,1795.46042,2505.68627
1917.825000000,1777.80808,2543.88213
1948.266666667,1776.86692,2584.18606
1978.708333333,1789.96702,2636.10201
2009.150000000,878.378794,2024.71798
2039.591666667,-222.376092,1099.06163
2070.033333333,-814.466176,375.669716
2100.475000000,-1508.28350,-447.519099
2130.916666667,1258.85141,1166.53623
2161.358333333,3909.12747,3300.71214
2191.800000000,2836.11815,3168.36080
2222.241666667,2368.59515,3085.32014
2252.683333333,2037.16471,2951.99600
2283.125000000,1810.18620,2817.96762
2313.566666667,1705.47331,2736.89183
2344.008333333,1650.06942,2687.28347
2374.450000000,1660.35419,2686.04935
2404.891666667,1682.24227,2704.30770
2435.333333333,1715.82759,2739.93584
2465.775000000,1751.59374,2788.64283
2496.216666667,1778.00463,2825.03292
2526.658333333,1598.93884,2715.80245
2557.100000000,1237.22213,2444.28732
2587.541666667,1191.30552,2337.17025
2617.983333333,1205.10361,2295.67771
2648.425000000,1221.61230,2277.02349
2678.866666667,1268.92774,2291.63850
2709.308333333,1336.98745,2333.72649
2739.750000000,1406.87800,2389.82954
2770.191666667,1476.95194,2462.94809
2800.633333333,1539.63899,2527.85142
2831.075000000,1571.55240,2569.14088
2861.516666667,1586.39114,2600.39795
2891.958333333,1612.91716,2636.30333
2922.400000000,1595.46894,2641.56707
2952.841666667,1456.68935,2553.61284
2983.283333333,1417.62197,2507.99364
3013.725000000,1352.89689,2447.08367
3044.166666667,1254.05299,2357.07998
3074.608333333,1181.78564,2275.71223
3105.050000000,1203.55385,2257.62917
3135.491666667,1299.97227,2310.90980
3165.933333333,961.494876,2087.94361
3196.375000000,1141.18934,2151.99442
3226.816666667,1741.14639,2555.05145
3257.258333333,1661.83921,2589.38854
3287.700000000,1646.20921,2626.58423
3318.141666667,1636.32974,2650.48490
3348.583333333,1578.09291,2630.45044
3379.025000000,1589.86475,2643.63341
3409.466666667,1615.04988,2669.94751
3439.908333333,1657.22026,2722.19244
3470.350000000,1706.74252,2777.94710
3500.791666667,293.306106,1799.71142
3531.233333333,-2033.53313,-104.099407
3561.675000000,-2275.82206,-908.388108
3592.116666667,103.081375,310.364783
3622.558333333,2411.98636,2047.02418
3653.000000000,3227.90194,3090.46670
