time,SURFACE-DRAIN
0.000000000000,-5800.88570
30.44166666667,-6053.11991
60.88333333333,-6229.93337
91.32500000000,-6111.63831
121.7666666667,-6158.44409
152.2083333333,-6393.13970
182.6500000000,-6191.78890
213.0916666667,-5876.66496
243.5333333333,-5649.25863
273.9750000000,-5521.99381
304.4166666667,-5455.99823
334.8583333333,-5426.61245
365.3000000000,-5478.69087
395.7416666667,-5818.65560
426.1833333333,-6066.74760
456.6250000000,-6550.75341
487.0666666667,-6637.52729
517.5083333333,-6473.60500
547.9500000000,-6262.42285
578.3916666667,-6074.70084
608.8333333333,-5914.55225
639.2750000000,-5808.54909
669.7166666667,-5994.94545
700.1583333333,-6323.51241
730.6000000000,-7265.73727
761.0416666667,-9179.22401
791.4833333333,-9045.80151
821.9250000000,-8855.10547
852.3666666667,-8834.95097
882.8083333333,-7979.24145
913.2500000000,-7174.70874
943.6916666667,-6637.35762
974.1333333333,-6250.07415
1004.575000000,-6047.28917
1035.016666667,-6068.69918
1065.458333333,-6134.78317
1095.900000000,-6663.29512
1126.341666667,-7179.95468
1156.783333333,-7091.96225
1187.225000000,-7416.92259
1217.666666667,-7695.50866
1248.108333333,-7495.18336
1278.550000000,-6746.67780
1308.991666667,-6284.60775
1339.433333333,-5991.80766
1369.875000000,-5808.22288
1400.316666667,-5715.99210
1430.758333333,-5725.53336
1461.200000000,-5958.02620
1491.641666667,-6026.53067
1522.083333333,-6009.18933
1552.525000000,-6207.19961
1582.966666667,-6233.45626
1613.408333333,-6150.21157
1643.850000000,-5935.46997
1674.291666667,-5727.60123
1704.733333333,-5579.92569
1735.175000000,-5479.09772
1765.616666667,-5424.13869
1796.058333333,-5432.62682
1826.500000000,-5446.06724
1856.941666667,-5431.85484
1887.383333333,-5393.08155
1917.825000000,-5384.52767
1948.266666667,-5354.91768
1978.708333333,-5312.41896
2009.150000000,-5262.51145
2039.591666667,-5224.39225
2070.033333333,-5197.87360
2100.475000000,-5174.55727
2130.916666667,-5188.95801
2161.358333333,-5250.01241
2191.800000000,-5381.37689
2222.241666667,-5497.29118
2252.683333333,-5742.24335
2283.125000000,-5915.27337
2313.566666667,-5929.66825
2344.008333333,-5904.96192
2374.450000000,-5784.12324
2404.891666667,-5672.12607
2435.333333333,-5571.15732
2465.775000000,-5490.13544
2496.216666667,-5448.42352
2526.658333333,-5796.52307
2557.100000000,-6385.43241
2587.541666667,-6348.07892
2617.983333333,-6255.65433
2648.425000000,-6181.27935
2678.866666667,-6038.81084
2709.308333333,-5873.60808
2739.750000000,-5737.99725
2770.191666667,-5625.02273
2800.633333333,-5546.12779
2831.075000000,-5547.10208
2861.516666667,-5568.20600
2891.958333333,-5547.79087
2922.400000000,-5613.88574
2952.841666667,-5870.73531
2983.283333333,-5905.50762
3013.725000000,-5994.18898
3044.166666667,-6134.97073
3074.608333333,-6225.23755
3105.050000000,-6110.44421
3135.491666667,-5856.40807
3165.933333333,-5660.49412
3196.375000000,-5532.17814
3226.816666667,-5538.30398
3257.258333333,-5518.42752
3287.700000000,-5521.63860
3318.141666667,-5550.68078
3348.583333333,-5666.24021
3379.025000000,-5619.31479
3409.466666667,-5582.02910
3439.908333333,-5466.59740
3470.350000000,-5381.06723
3500.791666667,-5297.40093
3531.233333333,-5216.87722
3561.675000000,-5213.45690
3592.116666667,-5223.23448
3622.558333333,-5236.25322
3653.000000000,-5280.11424
